-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.200, 0.001,  0.148
-183.800, 80.200, 0.004,  0.181
-183.800, 80.200, 0.007,  0.214
-183.800, 80.199, 0.011,  0.247
-183.800, 80.199, 0.018,  0.280
-183.800, 80.196, 0.086,  0.313
-183.800, 80.190, 0.203,  0.346
-183.800, 80.177, 0.390,  0.379
-183.799, 80.161, 0.458,  0.412
-183.798, 80.144, 0.527,  0.445
-183.798, 80.121, 0.706,  0.478
-183.797, 80.092, 0.899,  0.511
-183.796, 80.060, 0.940,  0.544
-183.795, 80.027, 0.982,  0.577
-183.794, 79.993, 1.024,  0.610
-183.793, 79.957, 1.085,  0.643
-183.792, 79.919, 1.164,  0.676
-183.791, 79.876, 1.314,  0.709
-183.790, 79.828, 1.451,  0.742
-183.789, 79.777, 1.554,  0.775
-183.787, 79.723, 1.628,  0.808
-183.786, 79.668, 1.660,  0.841
-183.784, 79.612, 1.696,  0.874
-183.783, 79.555, 1.740,  0.907
-183.781, 79.496, 1.789,  0.940
-183.779, 79.435, 1.841,  0.973
-183.778, 79.373, 1.891,  1.006
-183.776, 79.309, 1.940,  1.039
-183.774, 79.243, 1.986,  1.072
-183.772, 79.176, 2.028,  1.105
-183.770, 79.108, 2.067,  1.138
-183.768, 79.038, 2.103,  1.171
-183.767, 78.968, 2.137,  1.204
-183.765, 78.896, 2.167,  1.237
-183.763, 78.823, 2.195,  1.270
-183.762, 78.750, 2.220,  1.303
-183.760, 78.675, 2.242,  1.336
-183.758, 78.600, 2.262,  1.369
-183.756, 78.525, 2.280,  1.402
-183.754, 78.448, 2.297,  1.435
-183.752, 78.372, 2.311,  1.468
-183.750, 78.295, 2.324,  1.501
-183.748, 78.217, 2.335,  1.534
-183.746, 78.139, 2.345,  1.567
-183.744, 78.061, 2.354,  1.600
-183.742, 77.983, 2.362,  1.633
-183.741, 77.904, 2.369,  1.666
-183.739, 77.825, 2.375,  1.699
-183.737, 77.746, 2.381,  1.732
